iter	Logloss
0	0.6283450554
1	0.5683906288
2	0.5292020627
3	0.4938812821
4	0.4631415914
5	0.4416336887
6	0.4213586228
7	0.4063981891
8	0.3990196489
9	0.3848356796
10	0.373731534
11	0.3656763184
12	0.3564952715
13	0.352474897
14	0.3422461573
15	0.3341743165
16	0.3285018802
17	0.3235136932
18	0.3190616738
19	0.3135835355
20	0.3084958882
21	0.3050539535
22	0.3019416754
23	0.298154595
24	0.2938368261
25	0.2911746133
26	0.2875123763
27	0.2870895459
28	0.28488355
29	0.2804424991
30	0.276122811
31	0.2704878221
32	0.2678191264
33	0.2633572086
34	0.2583956429
35	0.2581052906
36	0.2575855704
37	0.2559248695
38	0.2547297752
39	0.2506967042
40	0.2495884061
41	0.245793132
42	0.2433596843
43	0.2412976049
44	0.2373540531
45	0.2317017065
46	0.2294650923
47	0.2275672516
48	0.2257851544
49	0.2228143793
50	0.2208198685
51	0.2198454417
52	0.2176234948
53	0.2159054268
54	0.2154478788
55	0.2137313818
56	0.2135906486
57	0.2135599458
58	0.2121484138
59	0.210639329
60	0.2087777689
61	0.2067182273
62	0.2058277361
63	0.2046154496
64	0.1998143655
65	0.1985591522
66	0.1938098963
67	0.1921868612
68	0.1911884045
69	0.1900353256
70	0.1873660227
71	0.1865983022
72	0.1831659689
73	0.1804664797
74	0.178562099
75	0.1770716188
76	0.1725364538
77	0.168530752
78	0.1665237436
79	0.1654450297
80	0.1637319828
81	0.1625608221
82	0.158922133
83	0.1567974433
84	0.1560485727
85	0.1542600118
86	0.1529330764
87	0.1511442149
88	0.1487138193
89	0.1464694028
90	0.1447995829
91	0.1432183406
92	0.1429857718
93	0.1424527223
94	0.1416509381
95	0.1399354057
96	0.1393322982
97	0.1378590424
98	0.1359187238
99	0.1345598779
