iter	Passed	Remaining
0	10	1003
1	21	1054
2	23	760
3	28	695
4	39	750
5	50	787
6	60	805
7	70	814
8	71	724
9	81	736
10	91	743
11	97	714
12	108	723
13	108	668
14	119	675
15	129	681
16	143	701
17	153	699
18	164	700
19	174	698
20	184	695
21	190	674
22	199	669
23	210	666
24	220	660
25	230	655
26	240	649
27	241	620
28	251	615
29	262	611
30	272	607
31	283	602
32	293	595
33	302	587
34	312	580
35	312	556
36	313	533
37	323	527
38	324	507
39	334	501
40	344	495
41	353	488
42	363	481
43	373	474
44	383	468
45	393	461
46	404	456
47	414	448
48	424	441
49	433	433
50	443	426
51	452	418
52	462	410
53	472	402
54	473	387
55	482	379
56	483	364
57	483	349
58	485	337
59	495	330
60	505	323
61	515	315
62	524	308
63	534	300
64	544	293
65	555	286
66	570	281
67	580	273
68	590	265
69	599	256
70	609	248
71	620	241
72	630	233
73	640	225
74	650	216
75	660	208
76	670	200
77	680	191
78	690	183
79	700	175
80	709	166
81	719	157
82	729	149
83	738	140
84	748	132
85	758	123
86	768	114
87	777	106
88	787	97
89	797	88
90	807	79
91	816	71
92	826	62
93	836	53
94	846	44
95	856	35
96	862	26
97	872	17
98	882	8
99	893	0
